               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,             0.03622,            0.022085,                   0,             0.39463,             0.32897,             0.26836,            0.088407,            0.058682,            0.021824,                   0,            0.006897,            0.006897,            0.006897
                  65,            0.035817,             0.02128,                   0,             0.40766,             0.34724,             0.27721,            0.091137,            0.059311,            0.021702,                   0,           0.0068478,           0.0068478,           0.0068478
                  66,            0.035522,            0.022248,                   0,             0.39834,              0.3587,             0.27274,            0.092128,            0.058603,            0.021922,                   0,           0.0067985,           0.0067985,           0.0067985
                  67,            0.035647,             0.02198,                   0,             0.38192,             0.34839,             0.26602,            0.089274,            0.058738,            0.022328,                   0,           0.0067493,           0.0067493,           0.0067493
                  68,            0.034945,            0.021644,                   0,             0.42074,             0.32977,             0.26335,            0.087361,            0.059266,            0.022368,                   0,              0.0067,              0.0067,              0.0067
                  69,            0.034896,            0.021885,                   0,             0.41956,             0.34364,             0.28164,            0.093502,            0.058654,            0.021794,                   0,           0.0066507,           0.0066507,           0.0066507
                  70,            0.034775,             0.02143,                   0,             0.39186,             0.34998,             0.26548,            0.087883,             0.05918,            0.022364,                   0,           0.0066015,           0.0066015,           0.0066015
                  71,            0.034603,             0.02173,                   0,             0.37492,             0.34285,             0.27304,            0.091327,            0.058842,            0.022292,                   0,           0.0065522,           0.0065522,           0.0065522
                  72,            0.034285,            0.020974,                   0,             0.39216,             0.34087,             0.26923,            0.092091,            0.060137,            0.022741,                   0,            0.006503,            0.006503,            0.006503
                  73,            0.033815,            0.020236,                   0,             0.39741,             0.34242,             0.26522,            0.087039,            0.060123,            0.022616,                   0,           0.0064537,           0.0064537,           0.0064537
                  74,            0.033635,            0.020567,                   0,             0.38305,             0.35275,             0.27063,            0.090905,            0.059039,            0.023056,                   0,           0.0064045,           0.0064045,           0.0064045
                  75,            0.033366,            0.019951,                   0,              0.3675,              0.3862,             0.27539,            0.090966,            0.058516,            0.022724,                   0,           0.0063552,           0.0063552,           0.0063552
                  76,             0.03367,            0.020049,                   0,             0.40224,             0.35286,             0.27679,            0.089418,            0.059408,            0.022989,                   0,            0.006306,            0.006306,            0.006306
                  77,            0.033308,            0.019701,                   0,              0.3817,             0.36029,             0.27342,            0.087536,            0.059093,            0.022757,                   0,           0.0062567,           0.0062567,           0.0062567
                  78,            0.032796,            0.020096,                   0,             0.38248,              0.3583,             0.27938,            0.095194,            0.058812,            0.023079,                   0,           0.0062075,           0.0062075,           0.0062075
                  79,            0.032555,            0.020479,                   0,             0.40284,             0.35394,             0.27696,             0.09445,            0.059556,            0.023312,                   0,           0.0061582,           0.0061582,           0.0061582
                  80,             0.03206,            0.020565,                   0,             0.38899,             0.35949,             0.27505,            0.090588,            0.059474,            0.023395,                   0,            0.006109,            0.006109,            0.006109
                  81,            0.031769,            0.019875,                   0,             0.40805,             0.34602,             0.27713,            0.092671,            0.059407,            0.023737,                   0,           0.0060597,           0.0060597,           0.0060597
                  82,            0.031275,            0.019765,                   0,             0.40211,             0.34998,             0.26194,            0.088373,            0.059751,            0.023671,                   0,           0.0060104,           0.0060104,           0.0060104
                  83,            0.031291,            0.019829,                   0,             0.40229,             0.34602,             0.27019,            0.090382,            0.059203,            0.023619,                   0,           0.0059612,           0.0059612,           0.0059612
                  84,            0.031348,            0.019537,                   0,             0.38728,             0.36346,              0.2674,            0.086487,            0.059422,             0.02398,                   0,           0.0059119,           0.0059119,           0.0059119
                  85,            0.030962,            0.018919,                   0,             0.40489,              0.3476,             0.27746,            0.089904,            0.058821,            0.023714,                   0,           0.0058627,           0.0058627,           0.0058627
                  86,            0.030906,            0.019104,                   0,             0.38432,             0.35306,             0.26272,            0.085147,            0.059568,            0.024238,                   0,           0.0058134,           0.0058134,           0.0058134
                  87,            0.030527,            0.019045,                   0,             0.40392,             0.35275,             0.26257,            0.086578,            0.059381,            0.024367,                   0,           0.0057642,           0.0057642,           0.0057642
                  88,            0.030261,             0.01845,                   0,             0.39445,             0.36544,             0.27105,            0.088079,            0.059684,            0.023924,                   0,           0.0057149,           0.0057149,           0.0057149
                  89,            0.030131,            0.018827,                   0,             0.42221,              0.3476,             0.27895,            0.092148,            0.059195,            0.024614,                   0,           0.0056657,           0.0056657,           0.0056657
                  90,            0.029698,            0.018449,                   0,              0.3773,             0.35038,             0.25187,            0.081734,            0.060404,             0.02425,                   0,           0.0056164,           0.0056164,           0.0056164
                  91,            0.029799,            0.018967,                   0,             0.40834,             0.35196,             0.27527,            0.090749,            0.059454,            0.024771,                   0,           0.0055672,           0.0055672,           0.0055672
                  92,            0.029507,            0.018815,                   0,             0.40634,             0.34942,             0.26226,            0.084813,            0.060173,            0.024319,                   0,           0.0055179,           0.0055179,           0.0055179
                  93,            0.029314,            0.018588,                   0,              0.3964,             0.35394,             0.26332,            0.085261,            0.059736,            0.024483,                   0,           0.0054687,           0.0054687,           0.0054687
                  94,             0.02922,            0.018707,                   0,             0.41635,             0.33413,             0.26101,            0.083619,            0.060128,            0.024589,                   0,           0.0054194,           0.0054194,           0.0054194
                  95,            0.028758,            0.018227,                   0,             0.40216,             0.36108,             0.27648,            0.090302,            0.059369,            0.025097,                   0,           0.0053701,           0.0053701,           0.0053701
                  96,            0.028584,            0.018038,                   0,             0.40789,             0.34758,             0.27084,            0.090558,            0.059142,            0.024798,                   0,           0.0053209,           0.0053209,           0.0053209
                  97,            0.028346,            0.018345,                   0,             0.40758,             0.35474,             0.26399,            0.086626,            0.059819,             0.02491,                   0,           0.0052716,           0.0052716,           0.0052716
                  98,            0.028454,            0.018169,                   0,             0.39277,             0.34958,             0.25377,            0.085335,            0.060528,            0.025101,                   0,           0.0052224,           0.0052224,           0.0052224
                  99,            0.028354,            0.017504,                   0,             0.41475,             0.34403,             0.26605,            0.087535,            0.060515,            0.025007,                   0,           0.0051731,           0.0051731,           0.0051731
                 100,            0.027929,            0.017678,                   0,             0.40579,             0.35513,             0.26688,            0.087107,            0.059935,            0.025101,                   0,           0.0051239,           0.0051239,           0.0051239
                 101,            0.027833,            0.017138,                   0,             0.38506,             0.35788,             0.26027,            0.086602,            0.059617,            0.025544,                   0,           0.0050746,           0.0050746,           0.0050746
                 102,            0.027677,            0.017689,                   0,             0.41399,             0.34749,             0.26441,            0.084833,            0.060529,            0.025452,                   0,           0.0050254,           0.0050254,           0.0050254
                 103,            0.027392,            0.017424,                   0,             0.40985,              0.3583,              0.2714,            0.089763,            0.059949,            0.025198,                   0,           0.0049761,           0.0049761,           0.0049761
                 104,            0.027162,            0.017343,                   0,             0.41164,             0.35672,             0.26584,            0.086338,            0.060038,            0.025948,                   0,           0.0049269,           0.0049269,           0.0049269
                 105,            0.026653,            0.017048,                   0,             0.38618,             0.34839,             0.26225,              0.0862,             0.06037,            0.025917,                   0,           0.0048776,           0.0048776,           0.0048776
                 106,            0.026704,            0.017255,                   0,             0.40663,             0.32818,             0.25752,            0.085587,            0.060083,            0.026152,                   0,           0.0048284,           0.0048284,           0.0048284
                 107,            0.026844,            0.017182,                   0,             0.39863,             0.34721,             0.26278,            0.082948,            0.060427,            0.025904,                   0,           0.0047791,           0.0047791,           0.0047791
                 108,            0.026597,            0.016441,                   0,             0.41805,             0.32818,             0.25938,            0.084214,            0.060539,            0.025999,                   0,           0.0047299,           0.0047299,           0.0047299
                 109,            0.026613,            0.016487,                   0,             0.39207,             0.33928,             0.25195,            0.081836,            0.060635,            0.026232,                   0,           0.0046806,           0.0046806,           0.0046806
                 110,            0.026117,            0.016489,                   0,             0.41149,             0.35196,             0.26397,            0.082448,            0.061057,             0.02603,                   0,           0.0046313,           0.0046313,           0.0046313
                 111,            0.025876,            0.016437,                   0,               0.406,              0.3476,             0.25517,            0.082956,            0.060735,            0.026673,                   0,           0.0045821,           0.0045821,           0.0045821
                 112,            0.025713,            0.016247,                   0,             0.39149,             0.34324,             0.24782,            0.079694,            0.061009,            0.026917,                   0,           0.0045328,           0.0045328,           0.0045328
